0,Tianna,Lele,38,4506778.5,false,1999-02-15
1,Jessika,Byerly,24,2688590.8,false,1999-12-04
2,Virgina,Presser,55,4842252.5,false,2016-07-17
3,Ronald,Massenburg,59,8201045.5,false,1997-05-31
4,Maida,Warmbrodt,45,1360727.9,false,1993-11-21
5,Melissa,Bluett,47,8818591.0,false,1997-10-24
6,Lane,Sandell,42,4943195.5,false,1989-05-13
7,Lavera,Bubash,34,3295311.3,false,2007-07-05
8,Kassandra,Yoast,45,2217908.3,false,1978-06-03
9,Elva,Bostian,55,7954258.5,false,1984-09-05
10,Opal,Palmisciano,59,5304334.5,false,2019-04-20
11,Cecelia,Abling,56,6777778.5,false,1977-04-23
12,Hannah,Eckley,57,5786253.0,false,1997-08-04
13,Dione,Vegter,38,9477468.0,false,1989-04-19
14,Brianne,Horras,38,2458843.8,false,1982-06-21
15,Brittny,Conklin,53,5027513.0,false,1998-03-08
16,Emelda,Amsley,31,5144923.0,false,1977-03-28
17,Reynalda,Naze,40,4980661.5,false,2019-03-02
18,Brigida,Mckenty,54,5270115.5,false,2000-09-26
19,Mozell,Farnsworth,38,6387299.5,false,2010-04-05
20,Thalia,Schmelzle,58,3142105.8,false,1970-11-19
21,Myong,Pair,49,3248603.8,false,2020-06-19
22,Pa,Speicher,47,7195998.5,false,2004-07-29
23,Laurene,Blicker,38,4656519.5,false,1995-05-20
24,Miguelina,Dermody,33,2258762.0,false,1984-05-20
25,Angella,Flatten,35,863124.2,false,1982-04-22
26,Lavera,Tiedemann,26,6588267.5,false,2001-07-02
27,Thanh,Wolfgramm,41,2416294.5,false,1986-08-19
28,Michell,Heidenescher,29,3275574.5,false,1994-04-24
29,Marni,Flatau,36,9611674.0,false,2019-02-01
30,Vernie,Prati,40,3095232.0,false,2007-01-03
31,Bernita,Osche,33,7176827.5,false,1991-03-28
32,Jillian,Schwarzenbach,44,824121.6,false,2011-04-06
33,Maggie,Binkerd,45,7625262.5,false,1975-06-01
34,Tristan,Ranieri,53,3528019.8,false,2019-02-09
35,Helene,Zumot,56,7319747.0,false,2010-09-24
36,Zelma,Hanhan,52,5219993.5,false,2019-08-09
37,Kaila,Mccullough,47,431633.9,false,2008-10-04
38,Kyung,Hecke,56,9227928.0,true,1993-03-03
39,Aleshia,Davirro,39,4743946.5,false,1993-06-22
40,Gwendolyn,Jarquin,55,7994484.5,false,1994-03-08
41,Berneice,Toniatti,51,8465881.0,false,2002-07-03
42,Maricela,Blasini,23,3939286.5,false,1974-02-16
43,Rachel,Kreul,39,6198128.0,false,1990-09-04
44,Angelia,Pagano,25,7686432.5,false,1971-05-17
45,Venus,Versteegh,58,3965524.3,false,1975-11-15
46,Pamelia,Thompson,54,5674877.0,false,1976-12-29
47,Michiko,Domin,56,2240968.8,false,2013-09-06
48,Margery,Vanwagner,30,2693122.0,false,1993-02-26
49,Jenise,Zuber,21,1008802.4,false,1987-08-07
50,Harriett,Gard,52,8821245.0,false,1977-10-18
51,Sung,Stuckmeyer,58,7782005.0,false,2015-12-10
52,Ocie,Nicola,45,8527461.0,false,1979-08-06
53,Bridgett,Wilbanks,23,4463935.0,false,1976-07-08
54,Tashia,Linson,29,5562571.0,false,1993-12-09
55,Evie,Fossen,27,8344051.5,false,1981-06-03
56,Gregory,Reddick,50,35672.1,false,2017-03-20
57,Shelli,Coren,53,4018584.3,false,1992-05-23
58,Stefania,Enix,50,6454654.5,false,2000-12-30
59,Shemeka,Brilliant,22,8433418.0,false,1993-04-01
60,Signe,Parenti,48,4496596.5,false,1970-06-22
61,Rebecca,Tooze,28,2271051.3,false,2021-08-14
62,Mariah,Pashia,28,2355018.0,false,2017-11-23
63,Anita,Sirna,26,3094399.5,false,2012-09-03
64,Vinnie,Hommell,41,6984216.5,false,1997-04-25
65,Marceline,Swolley,33,8570658.0,false,2017-09-03
